fid,lon,lat
"1",-72.7737374795028,19.4528144066703
"2",-72.731398271079,19.4609401133375
"3",-72.6698139679172,19.4553804193021
"4",-72.6343174598447,19.3677083210508
"5",-72.6642542738817,19.2672061596408
"6",-72.7566307286245,19.2496717399906
"7",-72.7857122051176,19.2317096515684
"8",-72.7876041961299,19.2323348695524
"9",-72.7894850159662,19.2329929305387
"10",-72.7913540945542,19.2336836350706
"11",-72.7932108653803,19.2344067737971
"12",-72.7950547656615,19.2351621275364
"13",-72.7968852365157,19.2359494673425
"14",-72.7987017231313,19.2367685545746
"15",-72.8005036749353,19.237619140969
"16",-72.8022905457602,19.2385009687149
"17",-72.8040617940095,19.2394137705324
"18",-72.8058168828216,19.2403572697533
"19",-72.8075552802333,19.241331180405
"20",-72.8092764593401,19.2423352072975
"21",-72.8109798984564,19.2433690461124
"22",-72.8126650812738,19.2444323834955
"23",-72.8143314970171,19.2455248971517
"24",-72.8159786405994,19.2466462559424
"25",-72.8176060127752,19.2477961199865
"26",-72.8192131202917,19.2489741407626
"27",-72.8207994760381,19.2501799612153
"28",-72.8223645991937,19.2514132158631
"29",-72.823908015373,19.2526735309093
"30",-72.8254292567701,19.2539605243554
"31",-72.8269278623002,19.2552738061163
"32",-72.8284033777392,19.2566129781394
"33",-72.8298553558618,19.2579776345247
"34",-72.8312833565767,19.2593673616478
"35",-72.83268694706,19.2607817382856
"36",-72.8340657018866,19.2622203357437
"37",-72.8354192031591,19.2636827179864
"38",-72.8367470406341,19.265168441769
"39",-72.8380488118473,19.266677056772
"40",-72.8393241222345,19.2682081057374
"41",-72.8405725852522,19.2697611246078
"42",-72.841793822494,19.2713356426667
"43",-72.8429874638056,19.2729311826811
"44",-72.8441531473969,19.2745472610465
"45",-72.8452905199521,19.2761833879332
"46",-72.8463992367358,19.2778390674347
"47",-72.8474789616987,19.2795137977184
"48",-72.8485293675784,19.2812070711771
"49",-72.8495501359994,19.2829183745837
"50",-72.8505409575689,19.2846471892457
"51",-72.8515015319713,19.2863929911634
"52",-72.8524315680585,19.2881552511882
"53",-72.8533307839387,19.2899334351829
"54",-72.8541989070617,19.2917270041841
"55",-72.8550356743011,19.2935354145649
"56",-72.8558408320348,19.2953581182002
"57",-72.8566141362212,19.2971945626327
"58",-72.8573553524736,19.2990441912401
"59",-72.8580642561311,19.3009064434043
"60",-72.8587406323264,19.3027807546807
"61",-72.8593842760515,19.3046665569698
"62",-72.8599949922194,19.3065632786891
"63",-72.8605725957235,19.3084703449466
"64",-72.8611169114933,19.3103871777148
"65",-72.8616277745481,19.3123131960059
"66",-72.8621050300463,19.3142478160481
"67",-72.8625485333329,19.3161904514625
"68",-72.862958149983,19.3181405134406
"69",-72.8633337558428,19.3200974109229
"70",-72.863675237067,19.3220605507783
"71",-72.8639824901533,19.3240293379835
"72",-72.8642554219741,19.3260031758035
"73",-72.8644939498043,19.3279814659725
"74",-72.8646980013466,19.3299636088751
"75",-72.8648675147536,19.3319490037283
"76",-72.8650024386461,19.3339370487634
"77",-72.8651027321289,19.3359271414084
"78",-72.8651683648033,19.3379186784707
"79",-72.8651993167762,19.3399110563199
"80",-72.8651955786662,19.3419036710706
"81",-72.8651571516062,19.3438959187659
"82",-72.8650840472434,19.34588719556
"83",-72.8649762877355,19.3478768979012
"84",-72.8648339057443,19.3498644227154
"85",-72.8646569444254,19.3518491675882
"86",-72.8644454574153,19.3538305309478
"87",-72.8641995088154,19.3558079122476
"88",-72.863919173172,19.3577807121476
"89",-72.8636045354543,19.3597483326966
"90",-72.8632556910283,19.3617101775133
"91",-72.8628727456279,19.3636656519669
"92",-72.8624558153231,19.3656141633575
"93",-72.8620050264844,19.3675551210957
