lon,lat
-72.7473930008844,19.4452550925986
-72.7458655370852,19.4451125293107
-72.7446842984138,19.4450921631267
-72.7438696510543,19.4452550925986
-72.7434623273745,19.4455809515424
-72.742525482911,19.4458049795663
-72.7414868075276,19.446253035614
-72.740590695432,19.4469047535017
-72.7401222732003,19.4471898800775
-72.7394705553126,19.4472509786295
-72.7384726122972,19.4473528095495
-72.7379023591455,19.4474139081014
-72.7373321059938,19.4475361052054
-72.7368840499461,19.4478415979652
-72.7364359938983,19.448106358357
-72.7360083040345,19.448248921645
-72.7355195156188,19.448248921645
-72.735132558123,19.4480045274371
-72.7346641358913,19.4475361052054
-72.7342364460275,19.4473324433655
-72.733360700116,19.4472306124455
-72.7329941088042,19.4472713448135
-72.7322405599966,19.4474546404694
-72.7315684759249,19.4476786684933
-72.7312222507971,19.4480452598051
-72.7312222507971,19.4483711187489
-72.731527743557,19.4485544144048
-72.7317517715808,19.4489413719006
-72.7318943348688,19.4493283293964
-72.7317517715808,19.4494505265003
-72.7312426169811,19.4496745545242
-72.7312222507971,19.4501633429399
-72.7315684759249,19.4503670047798
-72.7321794614446,19.4509372579315
-72.7326478836764,19.451935200947
-72.7323220247325,19.4529127777784
-72.731507377373,19.4535644956661
-72.729633688446,19.4547050019695
-72.727841464255,19.4561713672167
-72.7271897463673,19.4576377324639
-72.7266194932156,19.4600816745426
-72.7266194932156,19.4622812224134
-72.7262121695358,19.4631773345089
-72.7245014100808,19.4659471355314
-72.7242570158729,19.4674949655145
-72.7244199453448,19.4699389075932
-72.7234423685133,19.4722199202
-72.7196949906594,19.473930679655
-72.716599330693,19.475885833318
-72.7120373054795,19.4781668459247
-72.7084528570975,19.4784927048686
-72.7053571971311,19.477678057509
-72.7020986076929,19.4760487627899
-72.6986770887828,19.4734418912393
-72.6949297109288,19.4705091607449
-72.6918340509625,19.4690427954977
-72.6879237436366,19.4672505713067
-72.6848280836703,19.4667617828909
-72.6812436352882,19.4670876418347
-72.6781479753219,19.4685540070819
-72.6748893858837,19.4701833018011
-72.6719566553893,19.4732789617674
-72.6691868543668,19.4778409869809
-72.6657653354566,19.4806107880034
-72.6618550281307,19.481425435363
-72.6566412850296,19.4802849290596
-72.6506128945688,19.4794702817
-72.6455620809396,19.4780039164528
-72.6385561136474,19.4763746217337
-72.6317130758271,19.4752341154303
-72.6282915569169,19.4753970449022
-72.6237295317034,19.4767004806775
-72.6199821538494,19.4770263396214
-72.615257199164,19.4749082564865
-72.6103693150067,19.4714867375764
-72.6062960782089,19.4664359239471
-72.6027116298268,19.461059251374
-72.6007564761639,19.457474802992
-72.6001047582762,19.4548679314414
-72.6002676877481,19.4507946946436
-72.5992901109167,19.4452550925986
-72.5970090983099,19.4411818558008
-72.5973349572537,19.4361310421715
-72.5966832393661,19.431569016958
-72.5955427330627,19.4245630496658
-72.6012452645796,19.4164165760702
-72.6015711235234,19.415031675559
-72.6014896587875,19.4137282397837
-72.6011637998437,19.4116101566488
-72.6002676877481,19.4091662145701
-72.5994530403886,19.4073739903791
-72.5985569282931,19.4050115130364
-72.5973349572537,19.4037895419971
-72.5963573804223,19.4024046414858
-72.5948095504391,19.4010197409746
-72.5945651562312,19.3997163051993
-72.5948910151751,19.3977611515363
-72.5955427330627,19.3952357447217
-72.5966832393661,19.3932805910588
-72.5976608161976,19.3907551842441
-72.5976608161976,19.3895332132048
-72.5973349572537,19.3865190179744
-72.5976608161976,19.3838306816879
-72.5981496046133,19.380001839098
-72.5961129862144,19.3768247143957
-72.5975793514616,19.3751139549406
-72.6013267293156,19.3734031954855
-72.6045853187538,19.3750324902047
-72.6081697671359,19.3807350217216
-72.6122430039337,19.3883927069014
-72.6155830581078,19.3917327610756
