lon,lat
-72.7774529321875,19.4506469837735
-72.7283869646364,19.4899216070136
-72.5996200727446,19.489389512419
-72.4665964240959,19.2409013367433
-72.4873481132851,19.100960458365
-72.5581166943662,19.1254368097163
-72.7847265219942,19.2256545728005
-72.7900474679401,19.2281376809086
-72.7937721301023,19.2313302484762
-72.7983836165888,19.2354096403681
-72.8046288616463,19.2418296450934
-72.8064226554871,19.2422463337681
-72.8082089189516,19.2426942049891
-72.8099871100191,19.2431731228551
-72.8117566891187,19.2436829420442
-72.8135171192923,19.2442235078577
-72.8152678663583,19.2447946562674
-72.8170083990731,19.2453962139651
-72.8187381892927,19.246027998415
-72.8204567121327,19.2466898179098
-72.8221634461275,19.247381471628
-72.8238578733889,19.2481027496956
-72.825539479763,19.2488534332492
-72.8272077549862,19.2496332945028
-72.82886219284,19.2504420968166
-72.8305022913048,19.2512795947693
-72.8321275527122,19.2521455342318
-72.8337374838957,19.2530396524452
-72.8353315963407,19.2539616780997
-72.8369094063327,19.2549113314177
-72.8384704351038,19.2558883242379
-72.8400142089782,19.2568923601036
-72.8415402595162,19.2579231343518
-72.8430481236555,19.2589803342062
-72.8445373438527,19.2600636388722
-72.8460074682215,19.2611727196336
-72.8474580506699,19.2623072399531
-72.848888651036,19.2634668555737
-72.8502988352209,19.2646512146239
-72.8516881753208,19.2658599577239
-72.8530562497569,19.2670927180949
-72.8544026434033,19.2683491216702
-72.8557269477126,19.2696287872091
-72.8570287608403,19.2709313264122
-72.8583076877666,19.2722563440393
-72.8595633404163,19.2736034380295
-72.8607953377763,19.274972199623
-72.8620033060117,19.2763622134853
-72.8631868785787,19.2777730578331
-72.8643456963362,19.2792043045623
-72.8654794076547,19.280655519378
-72.8665876685228,19.2821262619262
-72.8676701426519,19.2836160859275
-72.868726501578,19.2851245393124
-72.8697564247614,19.2866511643585
-72.8707595996841,19.2881954978294
-72.8717357219446,19.2897570711154
-72.87268449535,19.2913354103756
-72.8736056320063,19.2929300366815
-72.8744988524055,19.2945404661626
-72.8753638855102,19.2961662101531
-72.8762004688366,19.2978067753402
-72.8770083485332,19.2994616639138
-72.8777872794585,19.3011303737174
-72.8785370252551,19.3028123984007
-72.8792573584215,19.3045072275734
-72.8799480603811,19.3062143469594
-72.8806089215485,19.3079332385535
-72.8812397413933,19.3096633807784
-72.8818403285006,19.3114042486429
-72.8824105006293,19.3131553139012
-72.8829500847674,19.3149160452131
-72.8834589171846,19.3166859083057
-72.8839368434815,19.3184643661347
-72.8843837186373,19.3202508790482
-72.8847994070527,19.32204490495
-72.8851837825921,19.3238458994641
-72.8855367286213,19.3256533161
-72.885858138043,19.3274666064183
-72.8861479133293,19.3292852201977
-72.8864059665512,19.3311086056012
-72.8866322194057,19.332936209344
-72.8868266032388,19.3347674768615
-72.8869890590673,19.336601852477
-72.8871195375957,19.338438779571
-72.8872179992318,19.3402777007496
-72.8872844140987,19.342118058014
-72.8873187620436,19.3439592929294
-72.887321032644,19.3458008467949
-72.8872912252109,19.3476421608126
-72.8872293487889,19.3494826762577
-72.8871354221539,19.3513218346473
-72.8870094738066,19.3531590779107
-72.8868515419647,19.354993848558
-72.8866616745507,19.3568255898498
-72.8864399291776,19.3586537459659
-72.8861863731314,19.3604777621737
-72.8859010833507,19.3622970849972
-72.8855841464034,19.3641111623843
-72.8852356584602,19.3659194438747
-72.8848557252657,19.3677213807667
-72.884444462106,19.3695164262838
-72.8840019937742,19.3713040357407
-72.883528454532,19.3730836667084
-72.8830239880694,19.3748547791789
-72.8824887474607,19.376616835729
-72.8819228951183,19.3783693016835
-72.8813266027436,19.3801116452773
-72.8807000512742,19.3818433378168
-72.88004343083,19.3835638538403
-72.8793569406545,19.3852726712776
-72.8786407890553,19.3869692716082
-72.8778951933399,19.3886531400188
-72.8771203797506,19.3903237655595
-72.8763165833955,19.3919806412985
-72.875484048177,19.3936232644765
-72.8746230267181,19.3952511366589
-72.8737337802857,19.3968637638873
-72.8728165787111,19.3984606568287
-72.8718717003081,19.400041330925
-72.8708994317891,19.4016053065393
-72.8699000681774,19.4031521091015
-72.8688739127182,19.4046812692529
-72.8678212767861,19.4061923229877
-72.8667424797911,19.4076848117946
-72.8656378490815,19.4091582827954
-72.8645077198443,19.4106122888829
-72.8633524350039,19.4120463888559
-72.862172345118,19.4134601475539
-72.8609678082707,19.4148531359883
-72.8597391899646,19.4162249314735
-72.8584868630095,19.4175751177541
-72.857211207409,19.4189032851322
-72.855912610246,19.4202090305909
-72.8545914655642,19.4214919579174
-72.8532481742496,19.4227516778224
-72.8518831439079,19.4239878080587
-72.8504967887415,19.4251999735374
-72.8490895294235,19.4263878064411
-72.8476617929702,19.4275509463358
-72.8462140126112,19.4286890402807
-72.8447466276585,19.4298017429344
-72.8432600833727,19.4308887166605
-72.8417548308281,19.4319496316297
-72.8402313267757,19.4329841659199
-72.8386900335049,19.4339920056137
-72.837131418703,19.4349728448943
-72.8355559553132,19.4359263861375
-72.8339641213913,19.4368523400024
-72.8323563999604,19.4377504255193
-72.8307332788646,19.4386203701748
-72.829095250621,19.4394619099944
-72.8274428122697,19.4402747896227
-72.8257764652237,19.4410587624012
-72.8240967151164,19.4418135904425
-72.822404071648,19.4425390447029
-72.8206990484312,19.4432349050519
-72.8189821628352,19.4439009603389
-72.8172539358287,19.4445370084574
-72.8155148918217,19.4451428564059
-72.8137655585066,19.4457183203472
-72.8120064666979,19.4462632256634
-72.8102381501713,19.4467774070095
-72.8084611455015,19.4472607083632
-72.8066759918996,19.4477129830725
-72.8048832310494,19.4481340938999
