lon,lat
-73.4529289479675,19.6908655368611
-73.4537842855114,19.6900101993171
-73.4335901542246,19.6931433250983
-72.7292599272192,19.6230265779093
-72.2981698050863,18.7120920936403
-72.3084338556132,18.5299051967864
-72.5829972072098,18.3759444388818
-73.6273643483296,18.4631888683611
-74.289449065916,18.6345236701265
-74.2908910035837,18.6513707779265
-74.2920402706859,18.6682403781171
-74.2928965208721,18.6851273867652
-74.2934594960971,18.7020267146915
-74.2937290266991,18.7189332690039
-74.2937050314504,18.7358419546326
-74.2933875175825,18.7527476758655
-74.2927765807834,18.769645337884
-74.291872405169,18.7865298482981
-74.2906752632277,18.8033961186811
-74.2891855157379,18.8202390661037
-74.2874036116597,18.837053614665
-74.2853300879993,18.8538346970226
-74.2829655696474,18.8705772559198
-74.2803107691908,18.8872762457096
-74.2773664866974,18.9039266338751
-74.2741336094755,18.9205234025464
-74.2706131118061,18.9370615500129
-74.2668060546494,18.9535360922302
-74.2627135853251,18.9699420643225
-74.2583369371664,18.9862745220787
-74.2536774291488,19.0025285434425
-74.248736465492,19.0186992299958
-74.2435155352371,19.0347817084347
-74.2380162117979,19.0507711320383
-74.2322401524864,19.0666626821292
-74.2261890980136,19.082451569526
-74.2198648719649,19.0981330359864
-74.2132693802504,19.113702355641
-74.2064046105307,19.1291548364178
-74.1992726316176,19.1444858214562
-74.1918755928509,19.1596906905102
-74.1842157234508,19.1747648613409
-74.1762953318454,19.1897037910978
-74.1681168049758,19.2045029776871
-74.1596826075764,19.2191579611293
-74.150995281432,19.2336643249027
-74.1420574446122,19.2480176972745
-74.1328717906818,19.2622137526187
-74.1234410878896,19.276248212719
-74.1137681783339,19.2901168480589
-74.103855977106,19.3038154790956
-74.0937074714117,19.3173399775202
-74.083325719671,19.3306862675012
-74.0727138505966,19.3438503269135
-74.0618750622507,19.35682818855
-74.0508126210814,19.3696159413174
-74.0395298609385,19.3822097314149
-74.0280301820683,19.3946057634956
-74.0163170500893,19.4068003018101
-74.0043939949474,19.4187896713326
-73.9922646098527,19.4305702588683
-73.9799325501959,19.4421385141423
-73.9674015324472,19.4534909508695
-73.9546753330361,19.4646241478053
-73.9417577872132,19.4755347497766
-73.9286527878947,19.4862194686932
-73.9153642844889,19.4966750845381
-73.9018962817061,19.5068984463387
-73.8882528383516,19.5168864731156
-73.874438066103,19.526636154812
-73.8604561282701,19.5361445531998
-73.8463112385414,19.545408802766
-73.8320076597133,19.5544261115758
-73.8175497024058,19.5631937621139
-73.8029417237636,19.5717091121039
-73.7881881261426,19.5799695953041
-73.7732933557836,19.5879727222814
-73.7582619014718,19.5957160811609
-73.7430982931849,19.6031973383536
-73.7278071007268,19.6104142392587
-73.7123929323515,19.6173646089438
-73.6968604333734,19.6240463528
-73.6812142847682,19.6304574571732
-73.6654592017614,19.6365959899713
-73.6495999324079,19.6424601012456
-73.633641256161,19.6480480237494
-73.6175879824316,19.6533580734697
-73.6014449491393,19.6583886501352
-73.5852170212543,19.6631382376984
-73.5689090893309,19.6676054047926
-73.5525260680344,19.671788805163
-73.536072894659,19.6756871780728
-73.5195545276408,19.6792993486828
-73.502975945063,19.6826242284056
-73.4863421431555,19.6856608152338
-73.4696581347897,19.6884081940416
-73.4529289479675,19.6908655368611
